"",""
"Action","Action"
"Add Press Article","Add Press Article"
"An error occurred while updating the press articles.","An error occurred while updating the press articles."
"Are you sure?","Are you sure?"
"Associated products","Associated products"
"CSV","CSV"
"Change status","Change status"
"Could not find press article to delete.","Could not find press article to delete."
"Created at","Created at"
"Delete Press Article","Delete Press Article"
"Delete","Delete"
"Dimensions should be 1000px wide by 14000px tall","Dimensions should be 1000px wide by 14000px tall"
"Disabled","Disabled"
"Edit Press Article '%s'","Edit Press Article '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving press article","Error saving press article"
"Excel","Excel"
"For example: RSVP Magazine, April 2016","For example: RSVP Magazine, April 2016"
"Home","Home"
"Id","Id"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Meta description for press articles list page","Meta description for press articles list page"
"Meta information","Meta information"
"Meta keywords for press articles list page","Meta keywords for press articles list page"
"Meta title for press articles list page","Meta title for press articles list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"No","No"
"None","None"
"Please select press articles to delete.","Please select press articles to delete."
"Please select press articles.","Please select press articles."
"Position","Position"
"Press Article Description","Press Article Description"
"Press Article Image","Press Article Image"
"Press Article Origin / Date","Press Article Origin / Date"
"Press Article Title","Press Article Title"
"Press Article was saved","Press Article was saved"
"Press Article was successfully deleted.","Press Article was successfully deleted."
"Press Article was successfully saved","Press Article was successfully saved"
"Press Article","Press Article"
"Press Articles","Press Articles"
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Press Article","Save Press Article"
"Status","Status"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The press articles has been deleted.","The press articles has been deleted."
"There was a problem saving the press article.","There was a problem saving the press article."
"There was an error deleting press article.","There was an error deleting press article."
"There was an error deleting press articles.","There was an error deleting press articles."
"There was an error updating press articles.","There was an error updating press articles."
"This press article no longer exists.","This press article no longer exists."
"Total of %d press articles were successfully deleted.","Total of %d press articles were successfully deleted."
"Total of %d press articles were successfully updated.","Total of %d press articles were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find press article to save.","Unable to find press article to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"Will display on detail page only","Will display on detail page only"
"XML","XML"
"Yes","Yes"